iter	Passed	Remaining
0	139	138958
1	141	70600
2	143	47594
3	144	36045
4	146	29172
5	148	24573
6	150	21322
7	152	18887
8	153	16945
9	156	15462
10	157	14185
11	159	13140
12	161	12237
13	162	11472
14	165	10836
15	166	10234
16	168	9756
17	170	9294
18	172	8887
19	173	8513
20	175	8189
21	177	7884
22	179	7626
23	181	7390
24	183	7154
25	185	6931
26	187	6752
27	188	6557
28	190	6367
29	191	6189
30	193	6047
31	194	5897
32	196	5750
33	197	5610
34	199	5491
35	200	5361
36	201	5243
37	202	5128
38	204	5029
39	205	4924
40	206	4822
41	207	4724
42	208	4629
43	208	4538
44	209	4454
45	210	4372
46	211	4289
47	212	4211
48	213	4137
49	214	4067
50	214	3998
51	215	3933
52	216	3873
53	217	3817
54	218	3762
55	219	3708
56	220	3653
57	221	3602
58	222	3553
59	223	3505
60	224	3454
61	225	3405
62	225	3356
63	226	3310
64	227	3265
65	227	3221
66	228	3180
67	228	3135
68	229	3099
69	230	3063
70	231	3025
71	231	2987
72	232	2950
73	232	2915
74	233	2881
75	234	2852
76	235	2821
77	235	2789
78	236	2757
79	237	2726
80	237	2696
81	238	2666
82	238	2638
83	239	2609
84	239	2582
85	240	2559
86	241	2532
87	242	2509
88	242	2485
89	243	2461
90	244	2439
91	245	2418
92	245	2399
93	246	2377
94	247	2356
95	248	2336
96	249	2318
97	249	2296
98	250	2275
99	250	2254
100	251	2235
101	251	2213
102	251	2193
103	252	2174
104	253	2156
105	253	2138
106	254	2120
107	254	2102
108	255	2085
109	255	2067
110	256	2050
111	256	2034
112	257	2018
113	257	2002
114	258	1987
115	258	1971
116	259	1958
117	260	1944
118	260	1930
119	261	1916
120	261	1902
121	262	1888
122	262	1873
123	263	1860
124	264	1848
125	265	1840
126	266	1831
127	267	1819
128	267	1808
129	268	1796
130	268	1784
131	269	1772
132	269	1759
133	270	1747
134	271	1738
135	271	1727
136	272	1717
137	273	1705
138	273	1694
139	274	1685
140	275	1675
141	275	1666
142	276	1656
143	277	1648
144	278	1641
145	278	1631
146	279	1621
147	279	1611
148	280	1601
149	280	1591
150	281	1582
151	281	1572
152	282	1563
153	283	1555
154	283	1546
155	284	1538
156	284	1529
157	285	1520
158	285	1512
159	286	1503
160	286	1494
161	287	1486
162	287	1478
163	288	1469
164	289	1462
165	289	1455
166	290	1448
167	291	1441
168	291	1433
169	291	1425
170	292	1417
171	292	1409
172	293	1402
173	293	1395
174	294	1388
175	294	1380
176	295	1374
177	296	1367
178	296	1360
179	297	1353
180	297	1345
181	297	1338
182	298	1332
183	298	1325
184	299	1319
185	299	1312
186	300	1306
187	300	1299
188	301	1293
189	302	1287
190	302	1282
191	303	1276
192	303	1270
193	304	1264
194	304	1258
195	305	1252
196	305	1247
197	306	1241
198	306	1235
199	307	1231
200	308	1225
201	308	1219
202	309	1214
203	309	1208
204	310	1203
205	310	1197
206	311	1192
207	311	1187
208	312	1182
209	312	1177
210	313	1171
211	313	1166
212	314	1162
213	315	1157
214	315	1152
215	316	1147
216	316	1142
217	317	1137
218	317	1133
219	318	1128
220	318	1123
221	319	1118
222	319	1114
223	320	1110
224	321	1106
225	321	1101
226	322	1097
227	322	1092
228	323	1088
229	323	1083
230	324	1079
231	324	1074
232	325	1070
233	325	1065
234	326	1061
235	326	1057
236	327	1053
237	327	1049
238	328	1045
239	328	1041
240	329	1037
241	329	1033
242	330	1029
243	330	1025
244	331	1021
245	332	1017
246	332	1015
247	334	1013
248	335	1010
249	335	1007
250	336	1003
251	336	1000
252	337	996
253	338	992
254	338	989
255	339	986
256	339	982
257	340	978
258	340	974
259	341	971
260	341	967
261	342	963
262	342	960
263	343	956
264	343	952
265	344	949
266	344	946
267	345	943
268	346	940
269	346	936
270	346	933
271	347	929
272	347	926
273	348	923
274	348	919
275	349	916
276	350	913
277	350	910
278	351	908
279	351	905
280	352	901
281	352	898
282	353	895
283	353	891
284	354	888
285	354	885
286	355	882
287	355	879
288	356	876
289	356	873
290	357	870
291	357	867
292	358	864
293	358	861
294	359	858
295	359	855
296	360	853
297	360	850
298	361	847
299	361	844
300	362	842
301	363	839
302	363	837
303	364	834
304	365	832
305	365	829
306	366	827
307	366	824
308	367	821
309	367	818
310	368	816
311	369	813
312	369	811
313	370	808
314	370	805
315	371	803
316	371	800
317	371	797
318	372	795
319	372	792
320	373	789
321	373	787
322	374	784
323	375	782
324	375	779
325	376	777
326	376	775
327	377	772
328	377	770
329	378	767
330	378	765
331	379	763
332	379	760
333	380	758
334	380	756
335	381	753
336	381	751
337	382	749
338	382	746
339	383	744
340	384	742
341	384	739
342	384	737
343	385	735
344	385	732
345	386	730
346	386	727
347	387	725
348	388	723
349	388	721
350	388	719
351	389	716
352	389	714
353	390	712
354	390	709
355	391	707
356	391	705
357	392	703
358	392	701
359	393	699
360	393	696
361	394	695
362	394	693
363	395	691
364	396	689
365	396	686
366	396	684
367	397	682
368	397	680
369	398	678
370	398	676
371	399	674
372	400	672
373	400	670
374	401	668
375	401	666
376	402	664
377	402	662
378	403	660
379	403	658
380	404	656
381	404	654
382	405	652
383	405	651
384	406	649
385	406	647
386	407	645
387	407	643
388	408	641
389	408	639
390	409	637
391	410	636
392	410	634
393	411	632
394	412	631
395	412	629
396	413	627
397	413	625
398	414	623
399	414	621
400	415	620
401	415	618
402	416	616
403	416	614
404	417	612
405	417	611
406	418	609
407	419	608
408	419	606
409	420	604
410	420	602
411	421	601
412	421	599
413	422	597
414	422	595
415	423	593
416	423	592
417	424	590
418	424	589
419	425	587
420	425	585
421	426	584
422	426	582
423	427	580
424	427	579
425	428	577
426	428	575
427	429	574
428	430	572
429	430	570
430	431	569
431	431	567
432	432	565
433	432	564
434	433	562
435	433	560
436	433	559
437	434	557
438	434	555
439	435	554
440	435	552
441	436	551
442	436	549
443	437	548
444	438	546
445	438	544
446	439	543
447	439	541
448	440	540
449	440	538
450	441	537
451	441	535
452	442	533
453	442	532
454	443	530
455	443	529
456	444	527
457	444	526
458	445	524
459	445	523
460	446	521
461	446	520
462	447	518
463	447	517
464	448	515
465	448	514
466	449	512
467	449	511
468	450	509
469	450	508
470	451	506
471	451	505
472	452	504
473	452	502
474	453	501
475	453	499
476	454	498
477	455	497
478	455	495
479	456	494
480	456	492
481	457	491
482	457	489
483	458	488
484	458	487
485	459	485
486	459	484
487	460	483
488	461	481
489	461	480
490	461	478
491	462	477
492	462	476
493	463	474
494	463	473
495	464	472
496	465	470
497	465	469
498	466	468
499	467	467
500	467	465
501	468	464
502	468	462
503	469	461
504	469	460
505	470	459
506	470	457
507	471	456
508	471	455
509	472	453
510	472	452
511	473	451
512	473	449
513	474	448
514	474	447
515	475	445
516	475	444
517	476	443
518	476	441
519	477	440
520	477	439
521	478	437
522	478	436
523	479	435
524	479	434
525	480	432
526	480	431
527	481	430
528	481	429
529	482	427
530	482	426
531	483	425
532	484	424
533	484	422
534	485	421
535	485	420
536	486	419
537	486	417
538	487	416
539	487	415
540	488	414
541	488	412
542	489	411
543	489	410
544	489	409
545	490	407
546	490	406
547	491	405
548	492	404
549	492	403
550	493	401
551	493	400
552	494	399
553	494	398
554	495	396
555	495	395
556	496	394
557	496	393
558	497	392
559	497	390
560	498	389
561	498	388
562	499	387
563	499	386
564	500	385
565	501	384
566	501	383
567	502	382
568	502	380
569	503	379
570	504	378
571	504	377
572	505	376
573	505	375
574	505	373
575	506	372
576	506	371
577	507	370
578	507	369
579	508	368
580	508	367
581	509	365
582	510	364
583	510	363
584	511	362
585	511	361
586	512	360
587	512	359
588	513	358
589	513	356
590	514	355
591	514	354
592	515	353
593	515	352
594	516	351
595	517	350
596	517	349
597	517	348
598	518	347
599	519	346
600	519	344
601	519	343
602	520	342
603	520	341
604	521	340
605	522	339
606	522	338
607	523	337
608	523	336
609	524	335
610	524	333
611	524	332
612	525	331
613	525	330
614	526	329
615	526	328
616	527	327
617	528	326
618	528	325
619	529	324
620	529	323
621	530	322
622	530	321
623	531	320
624	531	319
625	532	317
626	532	316
627	533	315
628	533	314
629	534	313
630	534	312
631	535	311
632	535	310
633	536	309
634	536	308
635	537	307
636	537	306
