iter	Passed	Remaining
0	137	137049
1	139	69614
2	141	47119
3	143	35846
4	146	29074
5	148	24559
6	151	21423
7	153	19054
8	155	17151
9	158	15645
10	160	14387
11	162	13358
12	164	12521
13	166	11758
14	168	11087
15	170	10489
16	172	9963
17	174	9501
18	175	9075
19	179	8778
20	180	8419
21	181	8078
22	182	7770
23	184	7501
24	185	7239
25	186	7001
26	187	6772
27	189	6564
28	190	6366
29	191	6187
30	193	6033
31	194	5894
32	195	5740
33	196	5592
34	197	5455
35	198	5328
36	200	5205
37	200	5085
38	201	4969
39	202	4858
40	203	4756
41	204	4657
42	204	4562
43	205	4471
44	206	4383
45	207	4312
46	208	4237
47	209	4161
48	210	4086
49	211	4011
50	211	3939
51	212	3869
52	212	3803
53	213	3738
54	213	3676
55	214	3617
56	215	3559
57	215	3504
58	216	3450
59	217	3400
60	217	3352
61	218	3305
62	219	3259
63	219	3215
64	220	3174
65	221	3134
66	222	3102
67	223	3064
68	224	3027
69	225	2989
70	225	2953
71	226	2917
72	226	2882
73	227	2849
74	228	2817
75	229	2786
76	229	2756
77	230	2725
78	231	2695
79	231	2665
80	232	2637
81	233	2609
82	233	2580
83	234	2557
84	235	2532
85	236	2509
86	236	2485
87	237	2464
88	238	2441
89	239	2418
90	239	2394
91	240	2373
92	241	2351
93	241	2330
94	242	2308
95	242	2286
96	243	2265
97	243	2244
98	244	2224
99	244	2204
100	245	2187
101	246	2170
102	247	2153
103	247	2134
104	248	2116
105	248	2098
106	249	2081
107	249	2063
108	250	2048
109	251	2032
110	252	2021
111	253	2006
112	253	1991
113	254	1975
114	254	1960
115	255	1945
116	255	1929
117	256	1914
118	256	1899
119	257	1885
120	257	1871
121	258	1857
122	258	1846
123	259	1833
124	260	1820
125	260	1807
126	260	1793
127	261	1781
128	261	1768
129	262	1756
130	262	1744
131	263	1732
132	263	1720
133	264	1709
134	265	1699
135	265	1688
136	266	1679
137	267	1670
138	268	1660
139	268	1649
140	269	1639
141	269	1628
142	269	1617
143	270	1607
144	271	1598
145	271	1589
146	272	1579
147	272	1569
148	273	1560
149	273	1550
150	274	1541
151	274	1532
152	275	1522
153	275	1513
154	276	1505
155	276	1497
156	277	1489
157	277	1481
158	278	1473
159	279	1465
160	279	1456
161	280	1448
162	280	1441
163	281	1433
164	281	1426
165	282	1419
166	283	1411
167	283	1405
168	284	1399
169	285	1392
170	285	1386
171	286	1379
172	287	1372
173	287	1364
174	288	1357
175	288	1350
176	289	1344
177	289	1337
178	290	1331
179	290	1324
180	291	1317
181	291	1311
182	292	1304
183	292	1298
184	293	1291
185	293	1285
186	294	1278
187	294	1273
188	295	1267
189	296	1262
190	296	1257
191	297	1253
192	298	1248
193	299	1242
194	299	1236
195	300	1231
196	300	1225
197	301	1220
198	301	1214
199	302	1209
200	302	1203
201	303	1198
202	303	1192
203	304	1187
204	304	1182
205	305	1177
206	305	1171
207	306	1166
208	307	1162
209	307	1157
210	308	1153
211	309	1148
212	309	1143
213	310	1138
214	310	1134
215	311	1130
216	311	1125
217	312	1121
218	313	1116
219	313	1111
220	314	1107
221	314	1102
222	315	1098
223	315	1093
224	316	1089
225	316	1084
226	317	1080
227	317	1075
228	318	1071
229	318	1067
230	319	1062
231	319	1058
232	320	1055
233	321	1051
234	321	1047
235	322	1043
236	322	1038
237	323	1034
238	323	1030
239	324	1026
240	324	1022
241	325	1018
242	325	1014
243	326	1011
244	327	1008
245	327	1004
246	328	1000
247	328	997
248	329	993
249	329	989
250	330	986
251	331	982
252	331	979
253	332	975
254	332	972
255	333	969
256	333	965
257	334	961
258	334	958
259	335	954
260	335	951
261	336	947
262	336	944
